datetime,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
2013-03-01 00:00:00,2013,3,1,0,6.0,18.0,5.0,,800.0,88.0,0.1,1021.1,-18.6,0.0,NW,4.4,Gucheng
2013-03-01 01:00:00,2013,3,1,1,6.0,15.0,5.0,,800.0,88.0,-0.3,1021.5,-19.0,0.0,NW,4.0,Gucheng
2013-03-01 02:00:00,2013,3,1,2,5.0,18.0,,,700.0,52.0,-0.7,1021.5,-19.8,0.0,WNW,4.6,Gucheng
2013-03-01 03:00:00,2013,3,1,3,6.0,20.0,6.0,,,,-1.0,1022.7,-21.2,0.0,W,2.8,Gucheng
2013-03-01 04:00:00,2013,3,1,4,5.0,17.0,5.0,,600.0,73.0,-1.3,1023.0,-21.4,0.0,WNW,3.6,Gucheng
2013-03-01 05:00:00,2013,3,1,5,4.0,11.0,3.0,,700.0,87.0,-1.8,1023.6,-21.9,0.0,E,1.2,Gucheng
2013-03-01 06:00:00,2013,3,1,6,3.0,6.0,3.0,,700.0,92.0,-2.6,1024.3,-20.4,0.0,ENE,1.2,Gucheng
2013-03-01 07:00:00,2013,3,1,7,5.0,5.0,3.0,,800.0,86.0,-0.9,1025.6,-20.5,0.0,ENE,1.1,Gucheng
2013-03-01 08:00:00,2013,3,1,8,5.0,9.0,5.0,,900.0,81.0,0.1,1026.1,-20.3,0.0,ENE,3.0,Gucheng
2013-03-01 09:00:00,2013,3,1,9,4.0,10.0,6.0,,900.0,82.0,1.1,1026.1,-20.6,0.0,NE,2.8,Gucheng
2013-03-01 10:00:00,2013,3,1,10,7.0,8.0,8.0,,900.0,82.0,1.9,1026.1,-21.3,0.0,ENE,3.0,Gucheng
2013-03-01 11:00:00,2013,3,1,11,3.0,6.0,8.0,,800.0,85.0,3.3,1026.1,-20.9,0.0,ENE,3.2,Gucheng
2013-03-01 12:00:00,2013,3,1,12,9.0,10.0,8.0,,800.0,86.0,4.1,1025.1,-20.3,0.0,ENE,3.2,Gucheng
2013-03-01 13:00:00,2013,3,1,13,10.0,19.0,9.0,,900.0,86.0,5.3,1024.1,-20.1,0.0,NE,2.7,Gucheng
2013-03-01 14:00:00,2013,3,1,14,13.0,20.0,8.0,,800.0,88.0,5.5,1023.8,-20.0,0.0,NE,2.1,Gucheng
2013-03-01 15:00:00,2013,3,1,15,13.0,16.0,8.0,,800.0,90.0,6.3,1023.5,-19.3,0.0,ENE,2.7,Gucheng
2013-03-01 16:00:00,2013,3,1,16,11.0,22.0,6.0,,800.0,90.0,5.9,1023.6,-18.8,0.0,ENE,1.8,Gucheng
2013-03-01 17:00:00,2013,3,1,17,10.0,20.0,4.0,,800.0,87.0,5.1,1024.2,-18.7,0.0,WNW,1.0,Gucheng
2013-03-01 18:00:00,2013,3,1,18,11.0,20.0,6.0,,900.0,80.0,3.7,1025.3,-19.2,0.0,E,1.6,Gucheng
2013-03-01 19:00:00,2013,3,1,19,11.0,31.0,8.0,,1000.0,69.0,2.7,1026.1,-19.3,0.0,E,1.7,Gucheng
2013-03-01 20:00:00,2013,3,1,20,13.0,25.0,12.0,5.0,1100.0,61.0,1.6,1027.1,-18.4,0.0,ESE,1.9,Gucheng
2013-03-01 21:00:00,2013,3,1,21,15.0,23.0,14.0,13.0,1200.0,52.0,1.0,1028.1,-17.4,0.0,SSE,0.7,Gucheng
2013-03-01 22:00:00,2013,3,1,22,16.0,28.0,16.0,19.0,1200.0,45.0,1.3,1028.4,-17.6,0.0,E,1.0,Gucheng
2013-03-01 23:00:00,2013,3,1,23,16.0,28.0,14.0,20.0,1100.0,44.0,0.2,1028.6,-17.6,0.0,ESE,1.1,Gucheng
2013-03-02 00:00:00,2013,3,2,0,14.0,18.0,24.0,43.0,1399.0,25.0,-0.3,1028.9,-18.0,0.0,ENE,1.4,Gucheng
2013-03-02 01:00:00,2013,3,2,1,18.0,39.0,25.0,28.0,1300.0,37.0,-0.7,1029.2,-17.9,0.0,E,1.0,Gucheng
2013-03-02 02:00:00,2013,3,2,2,19.0,29.0,30.0,13.0,1100.0,47.0,-0.8,1028.8,-18.0,0.0,ENE,1.4,Gucheng
2013-03-02 03:00:00,2013,3,2,3,15.0,24.0,20.0,12.0,1000.0,46.0,-1.2,1028.6,-17.9,0.0,ENE,1.1,Gucheng
2013-03-02 04:00:00,2013,3,2,4,13.0,16.0,21.0,24.0,1200.0,37.0,-1.3,1028.7,-18.9,0.0,NE,1.1,Gucheng
