datetime,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
2013-03-01 00:00:00,2013,3,1,0,6.0,6.0,4.0,8.0,300.0,81.0,-0.5,1024.5,-21.4,0.0,NNW,5.7,Tiantan
2013-03-01 01:00:00,2013,3,1,1,6.0,29.0,5.0,9.0,300.0,80.0,-0.7,1025.1,-22.1,0.0,NW,3.9,Tiantan
2013-03-01 02:00:00,2013,3,1,2,6.0,6.0,4.0,12.0,300.0,75.0,-1.2,1025.3,-24.6,0.0,NNW,5.3,Tiantan
2013-03-01 03:00:00,2013,3,1,3,6.0,6.0,4.0,12.0,300.0,74.0,-1.4,1026.2,-25.5,0.0,N,4.9,Tiantan
2013-03-01 04:00:00,2013,3,1,4,5.0,5.0,7.0,15.0,400.0,70.0,-1.9,1027.1,-24.5,0.0,NNW,3.2,Tiantan
2013-03-01 05:00:00,2013,3,1,5,10.0,10.0,12.0,15.0,400.0,70.0,-2.4,1027.5,-21.3,0.0,NW,2.4,Tiantan
2013-03-01 06:00:00,2013,3,1,6,8.0,19.0,12.0,14.0,400.0,72.0,-2.5,1028.2,-20.4,0.0,NW,2.2,Tiantan
2013-03-01 07:00:00,2013,3,1,7,7.0,7.0,12.0,19.0,400.0,67.0,-1.4,1029.5,-20.4,0.0,NNW,3.0,Tiantan
2013-03-01 08:00:00,2013,3,1,8,3.0,6.0,14.0,29.0,500.0,56.0,-0.3,1030.4,-21.2,0.0,NW,4.6,Tiantan
2013-03-01 09:00:00,2013,3,1,9,8.0,2.0,11.0,22.0,500.0,65.0,0.4,1030.5,-23.3,0.0,N,5.5,Tiantan
2013-03-01 10:00:00,2013,3,1,10,9.0,9.0,8.0,17.0,400.0,72.0,1.4,1030.2,-22.5,0.0,N,5.2,Tiantan
2013-03-01 11:00:00,2013,3,1,11,9.0,23.0,8.0,16.0,400.0,75.0,2.9,1029.8,-22.9,0.0,NNW,5.3,Tiantan
2013-03-01 12:00:00,2013,3,1,12,9.0,19.0,7.0,16.0,400.0,76.0,4.0,1028.6,-21.2,0.0,W,4.6,Tiantan
2013-03-01 13:00:00,2013,3,1,13,10.0,34.0,7.0,12.0,400.0,81.0,5.0,1027.8,-21.2,0.0,NW,4.5,Tiantan
2013-03-01 14:00:00,2013,3,1,14,10.0,19.0,6.0,12.0,400.0,83.0,6.2,1027.6,-22.2,0.0,NW,4.0,Tiantan
2013-03-01 15:00:00,2013,3,1,15,3.0,6.0,6.0,15.0,400.0,81.0,6.0,1027.7,-21.3,0.0,NNW,2.1,Tiantan
2013-03-01 16:00:00,2013,3,1,16,8.0,22.0,7.0,14.0,300.0,82.0,5.6,1027.7,-20.7,0.0,N,1.8,Tiantan
