datetime,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
2013-03-01 00:00:00,2013,3,1,0,9.0,9.0,6.0,17.0,200.0,62.0,0.3,1021.9,-19.0,0.0,WNW,2.0,Wanshouxigong
2013-03-01 01:00:00,2013,3,1,1,11.0,11.0,7.0,14.0,200.0,66.0,-0.1,1022.4,-19.3,0.0,WNW,4.4,Wanshouxigong
2013-03-01 02:00:00,2013,3,1,2,8.0,8.0,,16.0,200.0,59.0,-0.6,1022.6,-19.7,0.0,WNW,4.7,Wanshouxigong
2013-03-01 03:00:00,2013,3,1,3,8.0,8.0,3.0,16.0,,,-0.7,1023.5,-20.9,0.0,NW,2.6,Wanshouxigong
2013-03-01 04:00:00,2013,3,1,4,8.0,8.0,3.0,,300.0,36.0,-0.9,1024.1,-21.7,0.0,WNW,2.5,Wanshouxigong
2013-03-01 05:00:00,2013,3,1,5,10.0,10.0,4.0,8.0,200.0,64.0,-1.6,1024.7,-21.1,0.0,NE,2.0,Wanshouxigong
2013-03-01 06:00:00,2013,3,1,6,8.0,8.0,6.0,13.0,300.0,61.0,-2.4,1025.4,-20.3,0.0,NE,2.3,Wanshouxigong
2013-03-01 07:00:00,2013,3,1,7,8.0,8.0,8.0,20.0,300.0,54.0,-0.8,1026.7,-19.9,0.0,NNE,2.0,Wanshouxigong
2013-03-01 08:00:00,2013,3,1,8,3.0,6.0,9.0,23.0,300.0,50.0,0.4,1027.3,-19.4,0.0,NE,2.7,Wanshouxigong
2013-03-01 09:00:00,2013,3,1,9,3.0,6.0,10.0,18.0,300.0,56.0,1.5,1027.4,-19.7,0.0,ENE,2.9,Wanshouxigong
2013-03-01 10:00:00,2013,3,1,10,3.0,6.0,11.0,15.0,300.0,61.0,2.1,1027.3,-21.2,0.0,NNE,4.8,Wanshouxigong
2013-03-01 11:00:00,2013,3,1,11,3.0,6.0,9.0,14.0,300.0,62.0,3.1,1027.2,-21.1,0.0,N,4.1,Wanshouxigong
2013-03-01 12:00:00,2013,3,1,12,3.0,6.0,8.0,10.0,300.0,67.0,4.7,1026.3,-20.6,0.0,ESE,1.6,Wanshouxigong
2013-03-01 13:00:00,2013,3,1,13,3.0,9.0,7.0,9.0,300.0,70.0,5.5,1025.2,-20.0,0.0,NE,3.1,Wanshouxigong
2013-03-01 14:00:00,2013,3,1,14,3.0,14.0,7.0,8.0,300.0,72.0,6.6,1024.9,-19.9,0.0,NW,2.1,Wanshouxigong
2013-03-01 15:00:00,2013,3,1,15,12.0,14.0,5.0,7.0,200.0,73.0,6.1,1024.7,-19.5,0.0,NE,2.4,Wanshouxigong
2013-03-01 16:00:00,2013,3,1,16,11.0,17.0,7.0,9.0,300.0,72.0,5.9,1024.7,-18.8,0.0,N,3.3,Wanshouxigong
2013-03-01 17:00:00,2013,3,1,17,13.0,18.0,8.0,14.0,300.0,67.0,5.3,1025.3,-19.3,0.0,NNW,2.0,Wanshouxigong
2013-03-01 18:00:00,2013,3,1,18,10.0,18.0,9.0,20.0,400.0,58.0,4.1,1026.4,-19.5,0.0,NNE,2.2,Wanshouxigong
2013-03-01 19:00:00,2013,3,1,19,10.0,16.0,7.0,29.0,500.0,50.0,3.2,1027.2,-18.9,0.0,NE,2.1,Wanshouxigong
2013-03-01 20:00:00,2013,3,1,20,11.0,12.0,6.0,29.0,500.0,47.0,2.6,1028.2,-18.8,0.0,NE,1.9,Wanshouxigong
2013-03-01 21:00:00,2013,3,1,21,10.0,12.0,6.0,31.0,500.0,44.0,2.2,1029.2,-17.9,0.0,ENE,1.1,Wanshouxigong
2013-03-01 22:00:00,2013,3,1,22,10.0,13.0,11.0,39.0,500.0,34.0,2.0,1029.5,-18.1,0.0,ENE,2.0,Wanshouxigong
2013-03-01 23:00:00,2013,3,1,23,15.0,15.0,14.0,41.0,500.0,31.0,1.0,1029.6,-18.4,0.0,ENE,1.8,Wanshouxigong
2013-03-02 00:00:00,2013,3,2,0,5.0,10.0,11.0,35.0,400.0,39.0,0.5,1030.2,-18.3,0.0,ENE,1.4,Wanshouxigong
2013-03-02 01:00:00,2013,3,2,1,3.0,8.0,9.0,33.0,400.0,40.0,-0.3,1030.2,-17.5,0.0,E,1.0,Wanshouxigong
2013-03-02 02:00:00,2013,3,2,2,3.0,6.0,9.0,29.0,300.0,44.0,-1.2,1029.6,-17.0,0.0,E,0.8,Wanshouxigong
2013-03-02 03:00:00,2013,3,2,3,3.0,6.0,9.0,29.0,400.0,43.0,-2.9,1029.7,-14.9,0.0,N,0.1,Wanshouxigong
2013-03-02 04:00:00,2013,3,2,4,3.0,6.0,8.0,30.0,400.0,41.0,-2.4,1029.8,-15.5,0.0,N,0.2,Wanshouxigong
